LOCATION.X,LOCATION.Y,LOCATION.Z,ROTATION.ROLL,ROTATION.YAW,ROTATION.PITCH,ROAD_OPTION
1.9296894073486328,122.11415100097656,0.0,0.0,269.637451171875,360.0,RoadOption.LANEFOLLOW
1.9233617782592773,121.11417388916016,0.0,0.0,269.637451171875,360.0,RoadOption.LANEFOLLOW
1.91703462600708,120.11419677734375,0.0,0.0,269.637451171875,360.0,RoadOption.LANEFOLLOW
1.9053921699523926,118.27423095703125,0.0,0.0,269.637451171875,360.0,RoadOption.LANEFOLLOW
1.9053921699523926,118.27423095703125,0.0,0.0,269.637451171875,360.0,RoadOption.LANEFOLLOW
1.8990650177001953,117.27424621582031,0.0,0.0,269.637451171875,360.0,RoadOption.LANEFOLLOW
1.8927373886108398,116.2742691040039,0.0,0.0,269.637451171875,360.0,RoadOption.LANEFOLLOW
1.8864102363586426,115.2742919921875,0.0,0.0,269.637451171875,360.0,RoadOption.LANEFOLLOW
1.880082607269287,114.27430725097656,0.0,0.0,269.637451171875,360.0,RoadOption.LANEFOLLOW
1.8737554550170898,113.27433013916016,0.0,0.0,269.637451171875,360.0,RoadOption.LANEFOLLOW
1.8674278259277344,112.27435302734375,0.0,0.0,269.637451171875,360.0,RoadOption.LANEFOLLOW
1.861100673675537,111.27436828613281,0.0,0.0,269.637451171875,360.0,RoadOption.LANEFOLLOW
1.8547730445861816,110.2743911743164,0.0,0.0,269.637451171875,360.0,RoadOption.LANEFOLLOW
1.8484458923339844,109.27440643310547,0.0,0.0,269.637451171875,360.0,RoadOption.LANEFOLLOW
1.842118263244629,108.27442932128906,0.0,0.0,269.637451171875,360.0,RoadOption.LANEFOLLOW
1.8357911109924316,107.27444458007812,0.0,0.0,269.637451171875,360.0,RoadOption.LANEFOLLOW
1.8294634819030762,106.27447509765625,0.0,0.0,269.637451171875,360.0,RoadOption.LANEFOLLOW
1.823136329650879,105.27449035644531,0.0,0.0,269.637451171875,360.0,RoadOption.LANEFOLLOW
1.8168087005615234,104.27450561523438,0.0,0.0,269.637451171875,360.0,RoadOption.LANEFOLLOW
1.8104815483093262,103.27452850341797,0.0,0.0,269.637451171875,360.0,RoadOption.LANEFOLLOW
1.8041539192199707,102.27455139160156,0.0,0.0,269.637451171875,360.0,RoadOption.LANEFOLLOW
1.7978267669677734,101.27456665039062,0.0,0.0,269.637451171875,360.0,RoadOption.LANEFOLLOW
1.791499137878418,100.27458953857422,0.0,0.0,269.637451171875,360.0,RoadOption.LANEFOLLOW
1.7851719856262207,99.27461242675781,0.0,0.0,269.637451171875,360.0,RoadOption.LANEFOLLOW
1.7788443565368652,98.27462768554688,0.0,0.0,269.637451171875,360.0,RoadOption.LANEFOLLOW
1.772517204284668,97.27465057373047,0.0,0.0,269.637451171875,360.0,RoadOption.LANEFOLLOW
1.7661895751953125,96.27467346191406,0.0,0.0,269.637451171875,360.0,RoadOption.LANEFOLLOW
1.7598624229431152,95.27468872070312,0.0,0.0,269.637451171875,360.0,RoadOption.LANEFOLLOW
1.7535347938537598,94.27471160888672,0.0,0.0,269.637451171875,360.0,RoadOption.LANEFOLLOW
1.7472076416015625,93.27473449707031,0.0,0.0,269.637451171875,360.0,RoadOption.LANEFOLLOW
1.740880012512207,92.27474975585938,0.0,0.0,269.637451171875,360.0,RoadOption.LANEFOLLOW
1.7345528602600098,91.27476501464844,0.0,0.0,269.637451171875,360.0,RoadOption.LANEFOLLOW
1.7282252311706543,90.27479553222656,0.0,0.0,269.637451171875,360.0,RoadOption.LANEFOLLOW
1.721898078918457,89.27481079101562,0.0,0.0,269.637451171875,360.0,RoadOption.LANEFOLLOW
1.7155704498291016,88.27482604980469,0.0,0.0,269.637451171875,360.0,RoadOption.LANEFOLLOW
1.7092432975769043,87.27484893798828,0.0,0.0,269.637451171875,360.0,RoadOption.LANEFOLLOW
1.702916145324707,86.27487182617188,0.0,0.0,269.637451171875,360.0,RoadOption.LANEFOLLOW
1.6965885162353516,85.27488708496094,0.0,0.0,269.637451171875,360.0,RoadOption.LANEFOLLOW
1.690260887145996,84.27490997314453,0.0,0.0,269.637451171875,360.0,RoadOption.LANEFOLLOW
1.6839337348937988,83.27493286132812,0.0,0.0,269.637451171875,360.0,RoadOption.LANEFOLLOW
1.6776065826416016,82.27494812011719,0.0,0.0,269.637451171875,360.0,RoadOption.LANEFOLLOW
1.671278953552246,81.27497100830078,0.0,0.0,269.637451171875,360.0,RoadOption.LANEFOLLOW
1.6649513244628906,80.27499389648438,0.0,0.0,269.637451171875,360.0,RoadOption.LANEFOLLOW
1.6586241722106934,79.27500915527344,0.0,0.0,269.637451171875,360.0,RoadOption.LANEFOLLOW
1.652297019958496,78.2750244140625,0.0,0.0,269.637451171875,360.0,RoadOption.LANEFOLLOW
1.6459693908691406,77.27505493164062,0.0,0.0,269.637451171875,360.0,RoadOption.LANEFOLLOW
1.6396417617797852,76.27507019042969,0.0,0.0,269.637451171875,360.0,RoadOption.LANEFOLLOW
1.633314609527588,75.27508544921875,0.0,0.0,269.637451171875,360.0,RoadOption.LANEFOLLOW
1.6269874572753906,74.27510833740234,0.0,0.0,269.637451171875,360.0,RoadOption.LANEFOLLOW
1.6206598281860352,73.27513122558594,0.0,0.0,269.637451171875,360.0,RoadOption.LANEFOLLOW
1.614332675933838,72.275146484375,0.0,0.0,269.637451171875,360.0,RoadOption.LANEFOLLOW
1.6080050468444824,71.2751693725586,0.0,0.0,269.637451171875,360.0,RoadOption.LANEFOLLOW
