LOCATION.X,LOCATION.Y,LOCATION.Z,ROTATION.ROLL,ROTATION.YAW,ROTATION.PITCH,LANE_WIDTH,LOCATION.X OF LEFT WAYPOINTS,LOCATION.Y OF LEFT WAYPOINTS,LOCATION.Z OF LEFT WAYPOINTS,LOCATION.X OF RIGHT WAYPOINT,LOCATION.Y OF RIGHT WAYPOINT,LOCATION.Z OF RIGHT WAYPOINT,ROAD_OPTION
1.9296894073486328,122.11415100097656,0.0,0.0,269.637451171875,360.0,3.5,-0.07027053833007812,122.12680053710938,0.0,5.429618835449219,122.09200286865234,0.0,RoadOption.LANEFOLLOW
1.9233617782592773,121.11417388916016,0.0,0.0,269.637451171875,360.0,3.5,-0.0765981674194336,121.12682342529297,0.0,5.423291206359863,121.09202575683594,0.0,RoadOption.LANEFOLLOW
1.91703462600708,120.11419677734375,0.0,0.0,269.637451171875,360.0,3.5,-0.08292531967163086,120.12684631347656,0.0,5.416964054107666,120.09204864501953,0.0,RoadOption.LANEFOLLOW
1.9053921699523926,118.27423095703125,0.0,0.0,269.637451171875,360.0,3.5,-0.09456777572631836,118.28688049316406,0.0,5.4053215980529785,118.25208282470703,0.0,RoadOption.LANEFOLLOW
1.9053921699523926,118.27423095703125,0.0,0.0,269.637451171875,360.0,3.5,-0.09456777572631836,118.28688049316406,0.0,5.4053215980529785,118.25208282470703,0.0,RoadOption.LANEFOLLOW
1.8990650177001953,117.27424621582031,0.0,0.0,269.637451171875,360.0,3.5,-0.10089492797851562,117.28689575195312,0.0,5.398994445800781,117.2520980834961,0.0,RoadOption.LANEFOLLOW
1.8927373886108398,116.2742691040039,0.0,0.0,269.637451171875,360.0,3.5,-0.1072225570678711,116.28691864013672,0.0,5.392666816711426,116.25212097167969,0.0,RoadOption.LANEFOLLOW
1.8864102363586426,115.2742919921875,0.0,0.0,269.637451171875,360.0,3.5,-0.11354970932006836,115.28694152832031,0.0,5.3863396644592285,115.25214385986328,0.0,RoadOption.LANEFOLLOW
1.880082607269287,114.27430725097656,0.0,0.0,269.637451171875,360.0,3.5,-0.11987733840942383,114.28695678710938,0.0,5.380012035369873,114.25215911865234,0.0,RoadOption.LANEFOLLOW
1.8737554550170898,113.27433013916016,0.0,0.0,269.637451171875,360.0,3.5,-0.1262044906616211,113.28697967529297,0.0,5.373684883117676,113.25218200683594,0.0,RoadOption.LANEFOLLOW
1.8674278259277344,112.27435302734375,0.0,0.0,269.637451171875,360.0,3.5,-0.13253211975097656,112.28700256347656,0.0,5.36735725402832,112.25220489501953,0.0,RoadOption.LANEFOLLOW
1.861100673675537,111.27436828613281,0.0,0.0,269.637451171875,360.0,3.5,-0.13885927200317383,111.28701782226562,0.0,5.361030101776123,111.2522201538086,0.0,RoadOption.LANEFOLLOW
1.8547730445861816,110.2743911743164,0.0,0.0,269.637451171875,360.0,3.5,-0.1451869010925293,110.28704071044922,0.0,5.354702472686768,110.25224304199219,0.0,RoadOption.LANEFOLLOW
1.8484458923339844,109.27440643310547,0.0,0.0,269.637451171875,360.0,3.5,-0.15151405334472656,109.28705596923828,0.0,5.34837532043457,109.25225830078125,0.0,RoadOption.LANEFOLLOW
1.842118263244629,108.27442932128906,0.0,0.0,269.637451171875,360.0,3.5,-0.15784168243408203,108.28707885742188,0.0,5.342047691345215,108.25228118896484,0.0,RoadOption.LANEFOLLOW
1.8357911109924316,107.27444458007812,0.0,0.0,269.637451171875,360.0,3.5,-0.1641688346862793,107.28709411621094,0.0,5.335720539093018,107.2522964477539,0.0,RoadOption.LANEFOLLOW
1.8294634819030762,106.27447509765625,0.0,0.0,269.637451171875,360.0,3.5,-0.17049646377563477,106.28712463378906,0.0,5.329392910003662,106.25232696533203,0.0,RoadOption.LANEFOLLOW
1.823136329650879,105.27449035644531,0.0,0.0,269.637451171875,360.0,3.5,-0.17682361602783203,105.28713989257812,0.0,5.323065757751465,105.2523422241211,0.0,RoadOption.LANEFOLLOW
1.8168087005615234,104.27450561523438,0.0,0.0,269.637451171875,360.0,3.5,-0.1831512451171875,104.28715515136719,0.0,5.316738128662109,104.25235748291016,0.0,RoadOption.LANEFOLLOW
1.8104815483093262,103.27452850341797,0.0,0.0,269.637451171875,360.0,3.5,-0.18947839736938477,103.28717803955078,0.0,5.310410976409912,103.25238037109375,0.0,RoadOption.LANEFOLLOW
1.8041539192199707,102.27455139160156,0.0,0.0,269.637451171875,360.0,3.5,-0.19580602645874023,102.28720092773438,0.0,5.304083347320557,102.25240325927734,0.0,RoadOption.LANEFOLLOW
1.7978267669677734,101.27456665039062,0.0,0.0,269.637451171875,360.0,3.5,-0.2021331787109375,101.28721618652344,0.0,5.297756195068359,101.2524185180664,0.0,RoadOption.LANEFOLLOW
1.791499137878418,100.27458953857422,0.0,0.0,269.637451171875,360.0,3.5,-0.20846080780029297,100.28723907470703,0.0,5.291428565979004,100.25244140625,0.0,RoadOption.LANEFOLLOW
1.7851719856262207,99.27461242675781,0.0,0.0,269.637451171875,360.0,3.5,-0.21478796005249023,99.28726196289062,0.0,5.285101413726807,99.2524642944336,0.0,RoadOption.LANEFOLLOW
1.7788443565368652,98.27462768554688,0.0,0.0,269.637451171875,360.0,3.5,-0.2211155891418457,98.28727722167969,0.0,5.278773784637451,98.25247955322266,0.0,RoadOption.LANEFOLLOW
1.772517204284668,97.27465057373047,0.0,0.0,269.637451171875,360.0,3.5,-0.22744274139404297,97.28730010986328,0.0,5.272446632385254,97.25250244140625,0.0,RoadOption.LANEFOLLOW
